EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 31-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROMANIA, BUCURESTI-BANEASA (STAID: 219).
Blended and updated with sources: 223645 223646 915420 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
223645,19750429,    6,    0
223645,19750430,   11,    0
223645,19750501,   14,    0
223645,19750502,   11,    0
223645,19750503,   18,    0
223645,19750504,    6,    0
223645,19750505,   12,    0
223645,19750506,   16,    0
223645,19750507,   20,    0
223645,19750508,   20,    0
223645,19750509,   24,    0
223645,19750510,   11,    0
223645,19750511,    5,    0
223645,19750512,   11,    0
223645,19750513,   21,    0
223645,19750514,   21,    0
223645,19750515,   21,    0
223645,19750516,   10,    0
223645,19750517,    7,    0
223645,19750518,    8,    0
223645,19750519,   12,    0
223645,19750520,    7,    0
223645,19750521,    9,    0
223645,19750522,    6,    0
223645,19750523,    4,    0
223645,19750524,   14,    0
223645,19750525,   18,    0
223645,19750526,   11,    0
223645,19750527,    9,    0
223645,19750528,   10,    0
223645,19750529,    8,    0
223645,19750530,   13,    0
223645,19750531,-9999,    9
223645,19750601,   11,    0
223645,19750602,   10,    0
223645,19750603,   21,    0
223645,19750604,   17,    0
223645,19750605,    9,    0
223645,19750606,    9,    0
223645,19750607,   10,    0
223645,19750608,   14,    0
223645,19750609,    7,    0
223645,19750610,    5,    0
223645,19750611,    6,    0
223645,19750612,    7,    0
223645,19750613,    7,    0
223645,19750614,    4,    0
223645,19750615,    2,    0
223645,19750616,    9,    0
223645,19750617,   12,    0
223645,19750618,   15,    0
223645,19750619,    8,    0
223645,19750620,   23,    0
223645,19750621,   20,    0
223645,19750622,   13,    0
223645,19750623,   15,    0
223645,19750624,   11,    0
223645,19750625,    5,    0
223645,19750626,    7,    0
223645,19750627,    4,    0
223645,19750628,    2,    0
223645,19750629,    6,    0
223645,19750630,   11,    0
223645,19750701,   28,    0
223645,19750702,   15,    0
